Avg Year,Type,Avg Deaths,,0
2012,Interstate,112581.6667,,
1997,Interstate,281730.6667,,
2008.666667,Interstate,49296.33333,,
1998.333333,Interstate,282902.6667,,
2005,Interstate,58851.66667,,
1994,Interstate,44155.66667,,
2004.333333,Interstate,285513.3333,,
2011.666667,Interstate,27674.66667,,
2008,Interstate,77558,,
2005,Interstate,34114.33333,,
2000.333333,Interstate,313514,,
2001.333333,Interstate,53112.33333,,
2008.333333,Interstate,301840.3333,,
2011,Interstate,65262.33333,,
2013,Interstate,54326.33333,,
2014.666667,Interstate,55283,,
2011.333333,Interstate,59450.66667,,
2001.333333,Interstate,26536.33333,,
2012,Interstate,55088.66667,,
1997.333333,Interstate,280944.6667,,
2007.666667,Interstate,27663.33333,,
2009.333333,Interstate,119042,,
1997.333333,Interstate,277114.6667,,
2008.333333,Interstate,46784.33333,,
2007.666667,Interstate,39118.33333,,
2006,Interstate,62385,,
2005.666667,Interstate,25073.66667,,
1998.333333,Interstate,39482,,
2011,Interstate,69596.33333,,
2007.333333,Interstate,59427.66667,,
2002.666667,Interstate,96522,,
2012,Interstate,77602,,
2016.666667,Interstate,116241,,
2012.333333,Interstate,72748.33333,,
2003.333333,One-sided violence,581457.6667,,
1998.666667,Interstate,42663.66667,,
1997.666667,Interstate,48415.33333,,
2003.333333,Interstate,101096.3333,,
2004.666667,Interstate,30317.33333,,
2011,Interstate,54799.33333,,
2008,Interstate,47917.33333,,
2004.666667,Interstate,65979.66667,,
2007.333333,Interstate,23571.33333,,
2009.666667,Interstate,42053.66667,,
2011,Interstate,71716.33333,,
2005.666667,Interstate,96192.33333,,
2002.666667,Interstate,92261,,
2009.333333,Interstate,285465,,
2004.333333,Interstate,52537.66667,,
1999,Interstate,45807.33333,,
2008,Interstate,64160.66667,,
2000.666667,Interstate,34791.33333,,
2005.666667,Interstate,21136,,
1994.666667,Interstate,303039.6667,,
1996.666667,Interstate,34909,,
2009,Interstate,117405.3333,,
2000.333333,Interstate,57711,,
2010,Interstate,60192.66667,,
2007,Interstate,290468,,
1998.666667,Interstate,46451.66667,,
2000.666667,Interstate,36186.33333,,
2013.666667,Interstate,87288,,
2009,Interstate,65194.33333,,
2007,Interstate,80866.66667,,
2001.333333,Interstate,100458.6667,,
2014.333333,Interstate,102376.3333,,
2010,Interstate,70840.33333,,
2010,Interstate,67623.33333,,
2000,Interstate,282340.3333,,
1998.666667,Interstate,51606.33333,,
2014.666667,Interstate,93253.33333,,
2002.333333,Interstate,62908.33333,,
2013.666667,Interstate,68408.66667,,
2017,Interstate,135177,,
2018,Interstate,90424.33333,,
2005.333333,Interstate,30964.66667,,
2002.666667,Interstate,26061.66667,,
2006.666667,Interstate,39286,,
2019.666667,Interstate,118476.3333,,
2011.333333,Interstate,77771.33333,,
2009.666667,Interstate,73641.33333,,
1999.666667,Interstate,283118.3333,,
1998.666667,Interstate,36044,,
1998.666667,Interstate,65087.33333,,
2011.666667,Interstate,33762.66667,,
2002.333333,Interstate,27758,,
2007,Interstate,38271,,
2010,Interstate,78102.66667,,
2006.666667,Interstate,302977.3333,,
2013,Interstate,103368.3333,,
2008.666667,Interstate,33213.33333,,
2009.333333,Interstate,34759,,
2009,Interstate,62672.66667,,
2011.666667,Interstate,54016.66667,,
2001.666667,Interstate,28957.66667,,
2007,Interstate,53241,,
1998,Interstate,32847.33333,,
2004.666667,Interstate,17420.33333,,
2012,Interstate,98427.33333,,
2004.666667,Interstate,54159.66667,,
2014.333333,Interstate,42423.66667,,
2000,Intrastate,65589.66667,,
1998.666667,Interstate,43021.66667,,
